claim_or_output	code	input_contract	evidence_boundary
Cohort/clinical definitions, Table1/S1/S2/S9	analysis/build_clinical_annotation.R; analysis/check_inputs.R; outputs/SIC_reanalysis_2026-07-11/code/09_build_clinical_tables.R; analysis/build_clinical_workbook.R	authorised clinical annotation plus original clinical file	historical primary pipeline has recorded execution; annotation construction reproduced from the matching curated workbook; upstream curation and controlled handoff remain separately documented; current PCT withdrawal/BH40 must not be reverted
RNA Cox/PH, S3; RNA GSEA, S4/Figure2	outputs/SIC_reanalysis_2026-07-11/code/00b_build_official_gene_map.R; 01_run_RNA_TMM_cox_fgsea.R; 01b_finalize_RNA_GSEA.R; 06_build_RNA_normalization_robustness.R	annotation, OMIX011182-04.txt, org.Hs.eg.db, Hallmark2026.1	historical authorised primary execution evidence; Aggregate comparison syntax and aggregate agreement only
Protein Cox/PH, S5; GSEA, S6/Figure3	outputs/SIC_reanalysis_2026-07-11/code/02_run_Protein_QC_cox_fgsea.R; 02b_finalize_Protein_GSEA.R	proteins_annotation workbook, annotation, QC feature table, GMT	QC table consumed; read-only reconstruction supplied separately; original historical QC table generator not recovered
Cross-omics, S7/Figure4 A-D/F	outputs/SIC_reanalysis_2026-07-11/code/03_run_patient_scores_crossomics.R	private primary matrices and clinical annotation	patient scores/model objects remain restricted; current aggregate S7 compared with figure source values
D5 RNA availability/IPW, S8, S14/Figures1/S1-S8	outputs/SIC_reanalysis_2026-07-11/code/10_run_availability_IPW_sensitivity.R	private RNA object and annotated clinical/availability records	existing six scenarios and observation-level sandwich; not a truncation grid or imbalance simulation
Severity sensitivity S10	revision/analysis/01_run_A1_D1_RNA_severity_adjusted.R	SIC_FROZEN_PRIVATE_DIR, CMAISE_DATA_DIR, SIC_REVIEW_OUTPUT_DIR	existing post hoc fit; separate statistical stage
RNA LOCO S11	revision/analysis/02_run_A2_RNA_LOCO_centre_stability.R	private primary RNA matrix/metadata	internal stability only; not independent external validation
Protein selection S12	revision/analysis/03_run_A3_protein_subset_selection_audit.R; 07_run_D3_D5_protein_selection_audit.R	A3: separate 504-row availability matrix + protein aggregate GSEA, --availability/--protein-gsea/--output; later07: clinical annotation + private protein score key table	existing comparisons; outputs require aggregate disclosure review, not automatic publication
Matched centre pairs S15/Figure4e/S13	revision/analysis/05_run_IFN_centre_sensitivity.R	SIC_CROSSOMICS_DIR, SIC_CLINICAL_ANNOTATION, SIC_REVISION_OUTPUT	same sample/covariate/score/estimation within each centre pair; Aggregate comparison compares displayed estimates/FDR with S15
D5 EMT finite diagnostic S13/Figure S14	revision/analysis/06_run_D5_EMT_finite_permutation_diagnostic.R	existing D5 ranking, GMT, new output directory	seed20260902, 10000 random sets; separate from primary fgsea; separate statistical stage
CV dependence S18/Figure S15	revision/cv_sensitivity/R/01_cv_dependence.R; revision/cv_sensitivity/R/02_compare_and_plot.R; revision/cv_sensitivity/R/03_verify_outputs.R	private/input_paths.json + input_manifest.tsv + authorised files and reference objects	R4.4.2, survival3.7-0, fgsea1.32.4, seed20260711; shared11625 estimates reused, 5217 additional fits in existing run, reuse is not independent confirmation of shared HR
40 clinical contrasts/Figure S9	revision/clinical/01_update_clinical_BH40.R	revision/clinical/clinical40_before_BH_amendment.tsv via SIC_CLINICAL_40_PRE_BH_FILE	exploratory revision-stage BH40 amendment; path-only derivative separate statistical stage; current results remain unchanged
S14 excluded baseline	revision/descriptive/gap_private_summary.R	SIC_CLINICAL_ANNOTATION and SIC_D5_WEIGHTS_FILE, output argument	existing summary code with path-only interface change; all intermediate output PRIVATE; only approved3variables/2groups in current S14
QC/centre evidence verification	verification/verify_qc_and_centres_readonly.R	six command-line paths documented in script	reconstruction is not historical provenance recovery or experimental validation; separate statistical stage
All figures:19 figures/23 parts	plotting/R; plotting/FIGURE_CODE_DATA_INDEX.tsv	plotting/data; FIGURE_SIZE_MAP.tsv	aggregate-data rendering; not independent patient-level statistical reproduction
Current Table1/S9 and S2/S13/S17 diagnostics	analysis/prepare_clinical_descriptive.R; table_assembly/prepare_final_tables.py; analysis/run_current_tables.py	authorised annotation for optional descriptive preparation; supplied aggregate rows for final tables	descriptive and diagnostic reaggregation, not Cox/GSEA/IPW refitting
